Kecamatan,Kabupaten,Nama objek,Nomor Lokasi Keterdapatan,Komoditi,Kode Unsur,Kelompok Mineral Logam,Lokasi Keterdapatan,Provinsi,Status Penyelidikan Mineral Logam,Bijih Terbukti (Ton),Logam Terbukti (Ton),keterangan,acuan,objectid,longitude,latitude,Jenis Izin,Lokasi Tambang,Luas Wilayah,Tanggal Berakhir SK,Tanggal Berlaku SK,Mine_port(meter),Mine_road(meter),Mine_Smelter(meter),License_Duration_Years,License_Status
Lembo,Morowali Utara,Nikel Molino 1,1370000000,Nikel,Ni,Logam Besi dan Paduan Besi,Molino 1,Sulawesi Tengah,Operasi Produksi,0,0,"Blok 3A, Block 3B, Block 11A, Block 11B, Block 11C, Block 2, Block 4, Block 9, Block 10, Block 11 D","PT Genba Multi Mineral, Laporan RKAB Tahun 2020 (Tabulasi Ditjen Minerba)",1390,121.385,-2.162,IUP,"Desa Molino dan Bimor Jaya Kec. Petasia, Kab. Morowali",3744.0,2029-12-08,2016-01-19,19170.417,537.985,25307.264,13.895890410958904,Active
Bahodopi,Morowali,Nikel Tangofa,1378000000,Nikel,Ni,Logam Besi dan Paduan Besi,Tangofa,Sulawesi Tengah,Operasi Produksi,49500000,641508,"Bete-Bete/PIT 1-6, West Bete-Bete, Central, Central 2/Pit 21, APL/PIT A-C","PT Hengjaya Mineralindo, Laporan RKAB Tahun 2022",1398,122.1686,-2.9391,IUP,"Desa Padabaho, Bete-Bete, Pu'ungkeu, Tangofa, Kec. Bahodopi & Bungku Selatan",5983.0,2031-05-26,2020-07-10,14536.295,3300.312,11876.026,10.882191780821918,Active
Petasia,Morowali Utara,Nikel Ungkaya,1372000000,Nikel,Ni,Logam Besi dan Paduan Besi,Ungkaya,Sulawesi Tengah,Eksplorasi,0,0,"Blok Kolonedale West, Central dan East","PT Hoffmen International, Laporan RKAB Tahun 2020",1392,121.318,-1.879,IUP,"Desa Ganda-Ganda, Kec. Petasi",585.0,2031-03-24,2020-12-03,,,,10.30958904109589,Active
Petasia,Morowali Utara,Nikel Torete,1375000000,Nikel,Ni,Logam Besi dan Paduan Besi,Torete,Sulawesi Tengah,Operasi Produksi,0,0,-,"PT Indoberkah Jaya Mandiri, Laporan RKAB Tahun 2021",1395,121.317,-1.946,IUP,"Desa Torete, Kec. Bungku pesisir, Morowali",196.0,2034-10-10,2014-11-21,4050.242,509.154,662.173,19.898630136986302,Active
Bahodopi,Morowali,Nikel Padabaho,2571000000,Nikel,Ni,Logam Besi dan Paduan Besi,Padabaho,Sulawesi Tengah,Operasi Produksi,0,0,"Blok A, Blok B","PT Indoberkah Jaya Mandiri, Laporan Studi Kelayakan Tahun 2020",1593,122.182,-2.91,IUP,"Desa Torete, Kec. Bungku pesisir, Morowali",196.0,2034-10-10,2014-11-21,11474.393,1650.431,8791.144,19.898630136986302,Active
Petasia,Morowali Utara,Nikel Lambolo 1,2572000000,Nikel,Ni,Logam Besi dan Paduan Besi,Lambolo 1,Sulawesi Tengah,Operasi Produksi,8089740,9479223950,"Blok C1, C2, D, E","PT Itamatra Nusantara, Laporan RKAB Tahun 2021",1594,121.292,-1.937,IUP,"Desa lambolo, Kec. Petasia, Kab.Morowali",974.0,2032-03-15,2012-03-16,6981.391,1254.49,3343.002,20.01095890410959,Active
Petasia Timur,Morowali Utara,Nikel Bungintibe,2807000000,Nikel,Ni,Logam Besi dan Paduan Besi,Bungintibe,Sulawesi Tengah,Operasi Produksi,100526050,116072403300,"5 blok, kadar Ni 1,01% s.d. 1,74%","PT Keinz Ventura, Laporan RKAB Tahun 2020",1625,121.414,-2.0949,IUP,"Desa Tompira, Bungintimbe, Towara dan Molino, Kec. Petasia, Kab. Morowali",1205.0,2032-10-22,2022-07-14,11213.325,1181.302,19767.894,10.282191780821918,Active
Petasia,Morowali,Nikel Blok A,2944000000,Nikel,Ni,Logam Besi dan Paduan Besi,Blok A,Sulawesi Tengah,Operasi Produksi,2800000,31948,Blok A,"PT Maghantara Multimedia Nusaphala, Laporan RKAB Tahun 2022",1664,122.099,-2.944,IUP,Labota dan Padabao,2318.0,2031-11-29,2011-11-29,16748.465,7584.562,14613.845,20.013698630136986,Active
Bungku Selatan,Morowali,Nikel Buleleng 1,2808000000,Nikel,Ni,Logam Besi dan Paduan Besi,Buleleng 1,Sulawesi Tengah,Operasi Produksi,91665190,962484495,"Blok Utara dan Blok Selatan, kadar Ni 1,6% dan 2,6%","PT Mahligai Artha Sejahtera, Laporan RKAB Tahun 2022",1626,122.2345,-3.038,IUP,Kecamatan Bungku Pesisir,514.0,2031-06-22,2011-09-24,26622.013,220.772,4190.099,19.756164383561643,Active
Witaponfa,Morowali,Nikel Ungkaya 1,2809000000,Nikel,Ni,Logam Besi dan Paduan Besi,Ungkaya 1,Sulawesi Tengah,Operasi Produksi,10862680,129265892,"Kadar Ni 1,53% s.d. 1,71%","PT Mitra Agung Karya Lestari, Laporan RKAB Tahun 2020",1627,121.5475,-2.2587,IUP,"Desa Ungkaya, Kec. Witaponda, Morowali",743.0,2031-10-31,2016-10-31,31148.824,2083.831,39265.06,15.008219178082191,Active
Petasia,Morowali Utara,Nikel Lambolo,1373000000,Nikel,Ni,Logam Besi dan Paduan Besi,Lambolo,Sulawesi Tengah,Operasi Produksi,34741740,4196266004,"Pit 2A1-2A5, 2B, 2C1, 2C2, 3A11, 3A12, 3A21, 3A22, 3A3","PT Mulia Pasific Resources, Laporan RKAB Tahun 2022",1393,121.316,-1.983,IUP,"Desa Lambolo, Ganda-ganda dan Kolonodale, Marle dan Korolama Kec. Petasia, Kab. Morowali",4780.0,2031-04-20,2011-04-28,2934.728,1817.04,4554.3,19.991780821917807,Active
Ampana Kota,Tojo Una-Una,Nikel Rapalemba,2856000000,Nikel,Ni,Logam Besi dan Paduan Besi,Rapalemba,Sulawesi Tengah,Operasi Produksi,92357720,1228357676,"Blok B kadar Ni 1,9%","PT Multi Dinar Karya, Laporan RKAB Tahun 2021",1653,122.184,-0.9889,IUP,"Rapalemba, Uebae, Pusungi dan Marowo Kec. Ampana Kota, Ampana Tete dan Kec. Ulubongka Kab. Tojo Una-Una",10800.0,2031-05-24,2011-05-24,57051.195,211.845,142554.151,20.013698630136986,Active
Bungku Pesisir,Morowali,Nikel Matarape,1376000000,Nikel,Ni,Logam Besi dan Paduan Besi,Matarape,Sulawesi Tengah,Operasi Produksi,0,0,"Blok 4 dan Blok 5 (LGL, HGL, LGS, HGS)","PT Nusajaya Persadatama Mandiri, Laporan RKAB Tahun 2020",1396,122.275,-3.131,IUP,Menui Kepulauan,1825.0,2035-06-23,2024-06-23,37794.129,1554.464,9091.578,11.005479452054795,Active
Bahodopi,Morowali,Nikel Sumbatu,2575000000,Nikel,Ni,Logam Besi dan Paduan Besi,Sumbatu,Sulawesi Tengah,Operasi Produksi,219742280,310321939340,12 blok,"PT Oti Eya Abadi, Laporan RKAB Tahun 2020",1597,121.994,-2.82,IUP,"Desa Lele, Dampala dan Siumbatu Kecamatan Bahodopi Kabupaten Morowali Provinsi Sulawesi Tengah",3339.23,2038-05-15,2018-05-15,19028.15,5557.38,9793.034,20.013698630136986,Active
